,행정동,버스_정류장,지하철_역,집객시설,생활인구,쓰레기통
0,중곡1동,15,0,888,16282.27554,5
1,중곡2동,20,0,1248,19437.87404,9
2,중곡3동,21,4,1164,18040.34309,2
3,능동,8,4,564,17652.89104,8
4,구의1동,9,0,924,24602.97567,7
5,구의2동,20,5,1344,22214.6065,9
6,구의3동,24,4,1596,29830.84052,22
7,광장동,36,4,1668,36069.98257,16
8,자양1동,15,0,1272,26281.87238,7
9,자양2동,20,4,1140,23349.85284,3
10,자양3동,14,4,1260,26807.51718,4
11,화양동,19,6,2004,47494.23937,6
12,군자동,22,8,1620,26187.12133,6
